PerfectFlite SLCF
Firmware: 1.0
Software: 1.1
Serial Number: 4154
Apogee: 1884' AGL
Ground Elevation: -336' MSL
NumSamps: 1960
Flight Number: 3
Main Setting: 400' AGL
Apogee Delay: 1 Seconds
Drogue At: 12.00 Seconds
Main At: 47.10 Seconds
Max Drogue Current: 3 Amps
Max Main Current: 1 Amps
Comments: 
Data: (Time, Altitude, Velocity, Temperature (F), Voltage)
7.70, 1684, 119, 48.94, 9.40
7.75, 1690, 117, 48.92, 9.40
7.80, 1696, 114, 48.94, 9.40
7.85, 1701, 111, 48.94, 9.40
7.90, 1706, 109, 48.94, 9.40
7.95, 1712, 107, 48.94, 9.40
8.00, 1717, 106, 48.94, 9.40
8.05, 1722, 105, 48.94, 9.40
8.10, 1728, 104, 48.94, 9.40
8.15, 1732, 102, 48.96, 9.40
8.20, 1738, 99, 48.94, 9.40
8.25, 1743, 97, 48.94, 9.40
8.30, 1747, 94, 48.94, 9.40
8.35, 1752, 92, 48.94, 9.40
8.40, 1755, 91, 48.94, 9.40
8.45, 1761, 91, 48.94, 9.40
8.50, 1765, 90, 48.94, 9.40
8.55, 1770, 89, 48.94, 9.40
8.60, 1775, 85, 48.94, 9.40
8.65, 1779, 82, 48.94, 9.40
8.70, 1781, 79, 48.94, 9.40
8.75, 1786, 78, 48.94, 9.40
8.80, 1789, 77, 48.94, 9.40
8.85, 1794, 77, 48.92, 9.40
8.90, 1797, 76, 48.94, 9.40
8.95, 1802, 74, 48.94, 9.40
9.00, 1805, 72, 48.94, 9.40
9.05, 1808, 69, 48.92, 9.40
9.10, 1812, 67, 48.94, 9.40
9.15, 1814, 66, 48.94, 9.40
9.20, 1818, 65, 48.94, 9.40
9.25, 1822, 64, 48.94, 9.40
9.30, 1824, 63, 48.94, 9.40
9.35, 1827, 62, 48.92, 9.40
9.40, 1831, 60, 48.92, 9.40
9.45, 1834, 58, 48.92, 9.40
9.50, 1837, 56, 48.92, 9.40
9.55, 1838, 53, 48.94, 9.40
9.60, 1842, 52, 48.92, 9.40
9.65, 1843, 51, 48.92, 9.40
9.70, 1847, 50, 48.92, 9.40
9.75, 1849, 49, 48.92, 9.40
9.80, 1851, 48, 48.92, 9.40
9.85, 1854, 46, 48.92, 9.40
9.90, 1856, 44, 48.92, 9.40
9.95, 1858, 42, 48.92, 9.40
10.00, 1859, 40, 48.92, 9.40
10.05, 1863, 38, 48.92, 9.40
10.10, 1864, 36, 48.92, 9.40
10.15, 1865, 34, 48.92, 9.40
10.20, 1867, 32, 48.92, 9.40
10.25, 1868, 31, 48.92, 9.40
10.30, 1870, 29, 48.92, 9.40
10.35, 1872, 27, 48.92, 9.40
10.40, 1873, 25, 48.92, 9.40
10.45, 1874, 23, 48.92, 9.40
10.50, 1874, 21, 48.92, 9.40
10.55, 1876, 20, 48.92, 9.40
10.60, 1876, 19, 48.92, 9.40
10.65, 1878, 18, 48.92, 9.40
10.70, 1879, 17, 48.92, 9.40
10.75, 1879, 16, 48.92, 9.40
10.80, 1880, 14, 48.92, 9.40
10.85, 1880, 10, 48.92, 9.40
10.90, 1882, 6, 48.92, 9.40
10.95, 1882, 3, 48.92, 9.40
11.00, 1594, 0, 48.92, 9.40
11.05, 1880, 2, 48.92, 9.40
11.10, 1876, 6, 48.90, 9.40
11.15, 1883, 10, 48.92, 9.40
11.20, 1883, 14, 48.92, 9.40
11.25, 1884, 14, 48.90, 9.40
11.30, 1885, 10, 48.90, 9.40
11.35, 1884, 6, 48.92, 9.40
11.40, 1884, 2, 48.90, 9.40
11.45, 1884, -2, 48.92, 9.40
11.50, 1884, -2, 48.90, 9.40
11.55, 1882, -2, 48.92, 9.40
11.60, 1885, -3, 48.88, 9.40
11.65, 1884, -4, 48.90, 9.40
11.70, 1883, -6, 48.90, 9.40
11.75, 1882, -9, 48.90, 9.40
11.80, 1883, -10, 48.88, 9.40
11.85, 1881, -12, 48.90, 9.40
11.90, 1882, -14, 48.88, 9.40
11.95, 1879, -16, 48.92, 9.40
12.00, 1880, -16, 48.88, 9.40
12.05, 1877, -17, 48.88, 7.30
12.10, 1878, -17, 48.88, 7.50
12.15, 1876, -17, 48.88, 7.30
12.20, 1876, -23, 48.90, 6.90
12.25, 1877, -29, 48.88, 6.90
12.30, 1872, -35, 48.88, 6.30
12.35, 1872, -43, 48.88, 5.90
12.40, 1871, -43, 48.88, 5.40
12.45, 1867, -42, 48.88, 5.40
12.50, 1867, -42, 48.88, 5.00
12.55, 1865, -40, 48.88, 5.10
12.60, 1865, -42, 48.88, 5.20
12.65, 1861, -43, 48.88, 5.20
12.70, 1859, -43, 48.88, 5.70
12.75, 1855, -44, 48.88, 5.20
12.80, 1856, -44, 48.88, 5.20
12.85, 1854, -45, 48.87, 5.30
12.90, 1855, -46, 48.88, 5.20
12.95, 1863, -47, 48.87, 5.10
13.00, 1873, -47, 48.87, 5.00
13.05, 1874, -48, 48.88, 8.80
13.10, 1861, -49, 48.85, 8.90
13.15, 1852, -49, 48.85, 8.90
13.20, 1842, -50, 48.85, 9.00
13.25, 1834, -50, 48.85, 9.00
13.30, 1827, -51, 48.85, 9.00
13.35, 1822, -51, 48.85, 9.00
13.40, 1810, -52, 48.85, 9.10
13.45, 1808, -54, 48.85, 9.10
13.50, 1804, -56, 48.87, 9.10
13.55, 1802, -58, 48.85, 9.10
13.60, 1800, -60, 48.85, 9.10
13.65, 1799, -61, 48.85, 9.10
13.70, 1795, -63, 48.83, 9.10
13.75, 1797, -64, 48.85, 9.10
13.80, 1796, -66, 48.83, 9.10
13.85, 1791, -69, 48.83, 9.20
13.90, 1786, -72, 48.83, 9.20
13.95, 1786, -76, 48.83, 9.20
14.00, 1786, -79, 48.81, 9.20
14.05, 1784, -80, 48.83, 9.20
14.10, 1780, -79, 48.81, 9.20
14.15, 1777, -77, 48.81, 9.20
14.20, 1775, -74, 48.81, 9.20
14.25, 1777, -71, 48.83, 9.20
14.30, 1777, -69, 48.83, 9.20
14.35, 1769, -66, 48.81, 9.20
14.40, 1760, -65, 48.81, 9.20
14.45, 1760, -63, 48.81, 9.20
14.50, 1755, -63, 48.81, 9.20
14.55, 1745, -63, 48.81, 9.20
14.60, 1741, -63, 48.81, 9.20
14.65, 1737, -64, 48.81, 9.20
14.70, 1733, -65, 48.81, 9.20
14.75, 1727, -66, 48.81, 9.20
14.80, 1723, -67, 48.81, 9.20
14.85, 1719, -67, 48.81, 9.20
14.90, 1715, -67, 48.81, 9.20
14.95, 1711, -68, 48.81, 9.20
15.00, 1708, -68, 48.81, 9.20
15.05, 1705, -68, 48.81, 9.20
15.10, 1700, -69, 48.81, 9.20
15.15, 1698, -69, 48.81, 9.20
15.20, 1695, -70, 48.81, 9.20
15.25, 1694, -70, 48.81, 9.20
15.30, 1692, -70, 48.78, 9.30
15.35, 1689, -70, 48.81, 9.30
15.40, 1685, -69, 48.81, 9.20
15.45, 1682, -68, 48.78, 9.30
15.50, 1681, -67, 48.78, 9.30
15.55, 1679, -67, 48.78, 9.30
15.60, 1676, -67, 48.78, 9.30
15.65, 1670, -67, 48.81, 9.30
15.70, 1666, -67, 48.78, 9.30
15.75, 1663, -67, 48.78, 9.30
15.80, 1660, -66, 48.78, 9.30
15.85, 1656, -65, 48.78, 9.30
15.90, 1655, -64, 48.78, 9.30
15.95, 1651, -62, 48.78, 9.30
16.00, 1652, -61, 48.78, 9.30
16.05, 1647, -59, 48.78, 9.30
16.10, 1641, -59, 48.76, 9.30
16.15, 1641, -60, 48.76, 9.30
16.20, 1639, -61, 48.76, 9.30
16.25, 1635, -63, 48.74, 9.30
16.30, 1632, -64, 48.76, 9.30
16.35, 1628, -65, 48.76, 9.30
16.40, 1625, -66, 48.74, 9.30
16.45, 1625, -66, 48.74, 9.30
16.50, 1620, -66, 48.74, 9.30
16.55, 1612, -66, 48.74, 9.30
16.60, 1604, -66, 48.74, 9.30
16.65, 1600, -65, 48.74, 9.30
16.70, 1598, -65, 48.74, 9.30
16.75, 1594, -65, 48.74, 9.30
16.80, 1591, -65, 48.74, 9.30
16.85, 1590, -66, 48.74, 9.30
16.90, 1587, -66, 48.74, 9.30
16.95, 1586, -67, 48.72, 9.30
17.00, 1596, -67, 48.74, 9.30
17.05, 1595, -67, 48.74, 9.30
17.10, 1581, -67, 48.72, 9.30
17.15, 1574, -68, 48.72, 9.30
