PerfectFlite SLCF
Firmware: 1.0
Software: 1.1
Serial Number: 3971
Apogee: 1883' AGL
Ground Elevation: -344' MSL
NumSamps: 920
Flight Number: 3
Main Setting: 500' AGL
Apogee Delay: 0 Seconds
Drogue At: 10.95 Seconds
Main At: 35.15 Seconds
Max Drogue Current: 3 Amps
Max Main Current: 3 Amps
Comments: 
Data: (Time, Altitude, Velocity, Temperature (F), Voltage)
3.40, 835, 294, 46.69, 9.40
3.45, 850, 288, 46.67, 9.40
3.50, 863, 282, 46.69, 9.40
3.55, 877, 277, 46.69, 9.40
3.60, 892, 273, 46.67, 9.40
3.65, 904, 271, 46.65, 9.40
3.70, 917, 270, 46.69, 9.40
3.75, 930, 271, 46.67, 9.40
3.80, 945, 272, 46.65, 9.40
3.85, 958, 272, 46.67, 9.40
3.90, 973, 271, 46.65, 9.40
3.95, 985, 267, 46.67, 9.40
4.00, 1000, 262, 46.65, 9.40
4.05, 1011, 257, 46.67, 9.40
4.10, 1025, 252, 46.67, 9.40
4.15, 1036, 248, 46.67, 9.40
4.20, 1048, 246, 46.69, 9.40
4.25, 1061, 243, 46.67, 9.40
4.30, 1074, 241, 46.65, 9.40
4.35, 1084, 241, 46.67, 9.40
4.40, 1096, 240, 46.65, 9.40
4.45, 1109, 241, 46.65, 9.40
4.50, 1120, 241, 46.65, 9.40
4.55, 1134, 241, 46.65, 9.40
4.60, 1145, 239, 46.65, 9.40
4.65, 1156, 237, 46.65, 9.40
4.70, 1169, 234, 46.65, 9.40
4.75, 1181, 230, 46.65, 9.40
4.80, 1192, 227, 46.65, 9.40
4.85, 1202, 224, 46.65, 9.40
4.90, 1213, 223, 46.65, 9.40
4.95, 1224, 222, 46.65, 9.40
5.00, 1237, 222, 46.65, 9.40
5.05, 1247, 220, 46.65, 9.40
5.10, 1258, 218, 46.65, 9.40
5.15, 1268, 216, 46.65, 9.40
5.20, 1280, 213, 46.65, 9.40
5.25, 1290, 211, 46.65, 9.40
5.30, 1300, 208, 46.65, 9.40
5.35, 1311, 204, 46.65, 9.40
5.40, 1321, 201, 46.63, 9.40
5.45, 1330, 199, 46.65, 9.40
5.50, 1340, 198, 46.65, 9.40
5.55, 1350, 197, 46.65, 9.40
5.60, 1360, 196, 46.63, 9.40
5.65, 1370, 193, 46.65, 9.40
5.70, 1380, 189, 46.65, 9.40
5.75, 1389, 186, 46.65, 9.40
5.80, 1397, 182, 46.65, 9.40
5.85, 1407, 180, 46.63, 9.40
5.90, 1415, 180, 46.63, 9.40
5.95, 1423, 180, 46.65, 9.40
6.00, 1434, 180, 46.63, 9.40
6.05, 1442, 180, 46.65, 9.40
6.10, 1453, 177, 46.63, 9.40
6.15, 1461, 173, 46.63, 9.40
6.20, 1468, 169, 46.63, 9.40
6.25, 1475, 166, 46.65, 9.40
6.30, 1486, 165, 46.62, 9.40
6.35, 1493, 163, 46.65, 9.40
6.40, 1502, 162, 46.63, 9.40
6.45, 1508, 161, 46.65, 9.40
6.50, 1518, 161, 46.63, 9.40
6.55, 1525, 159, 46.62, 9.40
6.60, 1533, 158, 46.65, 9.40
6.65, 1541, 156, 46.63, 9.40
6.70, 1550, 153, 46.62, 9.40
6.75, 1557, 150, 46.63, 9.40
6.80, 1562, 148, 46.63, 9.40
6.85, 1570, 147, 46.63, 9.40
6.90, 1579, 146, 46.62, 9.40
6.95, 1586, 145, 46.62, 9.40
7.00, 1593, 143, 46.63, 9.40
7.05, 1599, 141, 46.63, 9.40
7.10, 1607, 139, 46.62, 9.40
7.15, 1613, 138, 46.63, 9.40
7.20, 1621, 136, 46.62, 9.40
7.25, 1627, 134, 46.65, 9.40
7.30, 1634, 133, 46.63, 9.40
7.35, 1640, 131, 46.63, 9.40
7.40, 1646, 131, 46.65, 9.40
7.45, 1653, 129, 46.62, 9.40
7.50, 1661, 128, 46.62, 9.40
7.55, 1666, 126, 46.62, 9.40
7.60, 1672, 123, 46.62, 9.40
7.65, 1678, 122, 46.62, 9.40
7.70, 1684, 120, 46.62, 9.40
7.75, 1690, 118, 46.63, 9.40
7.80, 1697, 117, 46.62, 9.40
7.85, 1701, 115, 46.63, 9.40
7.90, 1708, 112, 46.62, 9.40
7.95, 1712, 109, 46.62, 9.40
8.00, 1719, 106, 46.62, 9.40
8.05, 1724, 103, 46.62, 9.40
8.10, 1728, 101, 46.62, 9.40
8.15, 1733, 99, 46.62, 9.40
8.20, 1738, 98, 46.62, 9.40
8.25, 1743, 97, 46.62, 9.40
8.30, 1748, 96, 46.62, 9.40
8.35, 1752, 95, 46.62, 9.40
8.40, 1758, 94, 46.62, 9.40
8.45, 1761, 93, 46.62, 9.40
8.50, 1766, 90, 46.62, 9.40
8.55, 1773, 87, 46.60, 9.40
8.60, 1775, 84, 46.62, 9.40
8.65, 1778, 81, 46.62, 9.40
8.70, 1783, 79, 46.62, 9.40
8.75, 1787, 78, 46.62, 9.40
8.80, 1790, 77, 46.62, 9.40
8.85, 1795, 76, 46.60, 9.40
8.90, 1798, 75, 46.62, 9.40
8.95, 1802, 74, 46.62, 9.40
9.00, 1806, 72, 46.62, 9.40
9.05, 1808, 70, 46.62, 9.40
9.10, 1813, 68, 46.60, 9.40
9.15, 1816, 66, 46.60, 9.40
9.20, 1819, 64, 46.62, 9.40
9.25, 1822, 62, 46.60, 9.40
9.30, 1825, 61, 46.60, 9.40
9.35, 1827, 60, 46.62, 9.40
9.40, 1832, 59, 46.60, 9.40
